pool_address,fetched_at_utc,bin_array_index,bin_id,distance_from_active,price,price_per_token,liquidity,x_amount,y_amount,composition_y,is_active_bin,raw_bin_array_pubkey,raw_fields_json
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T03:24:15.725Z,-99,-6888,-6,0.063631343551294851009,63.631343551294851009,53096237450901074320066158904,0,2878422536,1,false,,"{""binId"":-6888,""xAmount"":""0"",""yAmount"":""2878422536"",""supply"":""53096237450901074320066158904"",""version"":2,""price"":""0.063631343551294851009"",""pricePerToken"":""63.631343551294851009"",""feeAmountXPerTokenStored"":""6927191248839939235"",""feeAmountYPerTokenStored"":""447619476133138418"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":false}"
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T03:24:15.725Z,-99,-6887,-5,0.063656796088715368949,63.656796088715368949,53283778081295932487719557821,0,2888692593,1,false,,"{""binId"":-6887,""xAmount"":""0"",""yAmount"":""2888692593"",""supply"":""53283778081295932487719557821"",""version"":2,""price"":""0.063656796088715368949"",""pricePerToken"":""63.656796088715368949"",""feeAmountXPerTokenStored"":""5973414537866814701"",""feeAmountYPerTokenStored"":""387989477837054555"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":false}"
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T03:24:15.725Z,-99,-6886,-4,0.063682258807150855097,63.682258807150855097,53572567591786285748756121955,0,2904259657,1,false,,"{""binId"":-6886,""xAmount"":""0"",""yAmount"":""2904259657"",""supply"":""53572567591786285748756121955"",""version"":2,""price"":""0.063682258807150855097"",""pricePerToken"":""63.682258807150855097"",""feeAmountXPerTokenStored"":""5455106668209092745"",""feeAmountYPerTokenStored"":""362166535928518710"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":false}"
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T03:24:15.725Z,-99,-6885,-3,0.063707731710673715439,63.707731710673715439,57770014011156217721086730704,0,3131747337,1,false,,"{""binId"":-6885,""xAmount"":""0"",""yAmount"":""3131747337"",""supply"":""57770014011156217721086730704"",""version"":2,""price"":""0.063707731710673715439"",""pricePerToken"":""63.707731710673715439"",""feeAmountXPerTokenStored"":""4071238342622917041"",""feeAmountYPerTokenStored"":""273096033023290921"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":false}"
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T03:24:15.725Z,-99,-6884,-2,0.063733214803357984925,63.733214803357984925,57969705241340670473180950204,0,3142598180,1,false,,"{""binId"":-6884,""xAmount"":""0"",""yAmount"":""3142598180"",""supply"":""57969705241340670473180950204"",""version"":2,""price"":""0.063733214803357984925"",""pricePerToken"":""63.733214803357984925"",""feeAmountXPerTokenStored"":""4332863161033085090"",""feeAmountYPerTokenStored"":""296568411998008950"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":false}"
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T03:24:15.725Z,-99,-6883,-1,0.063758708089279328119,63.758708089279328119,58161384795350408621769425008,0,3152950977,1,false,,"{""binId"":-6883,""xAmount"":""0"",""yAmount"":""3152950977"",""supply"":""58161384795350408621769425008"",""version"":2,""price"":""0.063758708089279328119"",""pricePerToken"":""63.758708089279328119"",""feeAmountXPerTokenStored"":""3253443199967351541"",""feeAmountYPerTokenStored"":""233223213696458116"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":false}"
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T03:24:15.725Z,-99,-6882,0,0.06378421157251503985,63.78421157251503985,58630163482803427187303411112,99694,3178359011,0.999968,true,,"{""binId"":-6882,""xAmount"":""99694"",""yAmount"":""3178359011"",""supply"":""58630163482803427187303411112"",""version"":2,""price"":""0.06378421157251503985"",""pricePerToken"":""63.78421157251503985"",""feeAmountXPerTokenStored"":""3376674451375591662"",""feeAmountYPerTokenStored"":""247346915524726878"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":false}"
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T03:24:15.725Z,-99,-6881,1,0.063809725257144045866,63.809725257144045866,58821480369301923285424802100,49973457842,0,0,false,,"{""binId"":-6881,""xAmount"":""49973457842"",""yAmount"":""0"",""supply"":""58821480369301923285424802100"",""version"":2,""price"":""0.063809725257144045866"",""pricePerToken"":""63.809725257144045866"",""feeAmountXPerTokenStored"":""3258550148260317551"",""feeAmountYPerTokenStored"":""228527310856778166"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":false}"
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T03:24:15.725Z,-99,-6880,2,0.063835249147246903485,63.835249147246903485,30286288161503717083101957216,25719989245,0,0,false,,"{""binId"":-6880,""xAmount"":""25719989245"",""yAmount"":""0"",""supply"":""30286288161503717083101957216"",""version"":2,""price"":""0.063835249147246903485"",""pricePerToken"":""63.835249147246903485"",""feeAmountXPerTokenStored"":""3462108038521370830"",""feeAmountYPerTokenStored"":""240202851728350775"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":false}"
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T03:24:15.725Z,-99,-6879,3,0.063860783246905802246,63.860783246905802246,30564429325681701515169466499,25948098345,0,0,false,,"{""binId"":-6879,""xAmount"":""25948098345"",""yAmount"":""0"",""supply"":""30564429325681701515169466499"",""version"":2,""price"":""0.063860783246905802246"",""pricePerToken"":""63.860783246905802246"",""feeAmountXPerTokenStored"":""4716472012285531908"",""feeAmountYPerTokenStored"":""323865302394945533"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":false}"
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T03:24:15.725Z,-99,-6878,4,0.063886327560204564567,63.886327560204564567,30861567815367751516300059346,26188380314,0,0,false,,"{""binId"":-6878,""xAmount"":""26188380314"",""yAmount"":""0"",""supply"":""30861567815367751516300059346"",""version"":2,""price"":""0.063886327560204564567"",""pricePerToken"":""63.886327560204564567"",""feeAmountXPerTokenStored"":""5456903533383326142"",""feeAmountYPerTokenStored"":""361428382710498780"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":false}"
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T03:24:15.725Z,-99,-6877,5,0.063911882091228646393,63.911882091228646393,30907526538811410984908733433,26216464965,0,0,false,,"{""binId"":-6877,""xAmount"":""26216464965"",""yAmount"":""0"",""supply"":""30907526538811410984908733433"",""version"":2,""price"":""0.063911882091228646393"",""pricePerToken"":""63.911882091228646393"",""feeAmountXPerTokenStored"":""5288206808266048160"",""feeAmountYPerTokenStored"":""346511899536099060"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":false}"
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T03:24:15.725Z,-99,-6876,6,0.063937446844065137851,63.937446844065137851,30476323699850284995573434598,25840034679,0,0,false,,"{""binId"":-6876,""xAmount"":""25840034679"",""yAmount"":""0"",""supply"":""30476323699850284995573434598"",""version"":2,""price"":""0.063937446844065137851"",""pricePerToken"":""63.937446844065137851"",""feeAmountXPerTokenStored"":""4873107628712134766"",""feeAmountYPerTokenStored"":""298501504683408352"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":false}"
